ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
84	16-720-273-1	bad	Cavineña	hida-ma	hida-ma	h i d a + m a	194 185	194 62	h i + d a + m a	194 320 185	168 166 25	168 166 25	good good-2 _not	
79	14-410-273-1	day	Cavineña	wekaka	wekaka	w e k a k a	122	122	w e k a k a	122	122	122	day-3	
67	1-213-273-1	dust	Cavineña	moro	moro	m o r o	230	24	m o r o	230	24	24	dust-2	
66	1-212-273-1	earth=ground, soil	Cavineña	mehihi	mehihi	m e h i h i	222	222	m e + h i + h i	221 5 0	221 5 0	221 5 0	earth earth-2 _earth-2	
85	13-140-273-1	every, all	Cavineña	dotʸa	dotʸa	d o tʲ a	200	200	d o tʲ a	200	200	200	every-6	
86	13-140-273-3	every, all	Cavineña	yota	yota	j o t a	202	202	j o t a	202	202	202	every-7	
81	12-440-273-1	far (adv)	Cavineña	hapa-da	hapa-da	h a p a + d a	148 149	129 130	h a p a + d a	148 149	129 59	129 59	far-5 _da-suffix	
68	1-810-273-1	fire	Cavineña	e-ti-ki	e-ti-ki	e + t i + k i	3 1 4	3 1 4	e + t i + k i	3 1 4	3 1 4	3 1 4	fire-3 fire-2 fire-4	
69	1-820-273-1	flame (noun)	Cavineña	hoho-ra	hoho-ra	h o h o + r a	9 10	9 10	h o h o + r a	9 10	9 10	9 10	flame-3 flame-4	
82	16-710-273-1	good	Cavineña	hida	hida	h i d a	158	194	h i + d a	168 166	168 166	168 166	good good-2	
83	16-710-273-3	good	Cavineña	hida-kʷita	hida-kʷita	h i d a + kʷ i t a	158 161	194 161	h i + d a + kʷ i t a	168 166 161	168 166 161	168 166 161	good good-2 good-5	
74	12-550-273-1	large, big	Cavineña	ari-da	ari-da	a r i + d a	42 59	42 59	a r i + d a	42 59	42 59	42 59	large _da-suffix	
75	12-550-273-3	large, big	Cavineña	ari-na	ari-na	a r i + n a	42 60	42 60	a r i + n a	42 60	42 60	42 60	large _na-suffix	
80	12-430-273-1	near (adv)	Cavineña	hapa-da-ma	hapa-da-ma	h a p a + d a + m a	129 130 125	129 130 62	h a p a + d a + m a	129 130 125	129 59 25	129 59 25	far-5 _da-suffix _not	
87	13-10-273-1	one	Cavineña	pea-dʸa	pea-dʸa	p e a + dʲ a	216 217	216 217	p e a + dʲ a	216 217	216 217	216 217	one-4 one-5	
72	1-510-273-1	sky	Cavineña	bare-pa	bare-pa	b a r e + p a	35 33	35 33	b a r e + p a	35 33	35 33	35 33	sky _pa-suffix	
76	12-560-273-1	small, little	Cavineña	ačača	ačača	a tʃ a tʃ a	72	72	a + tʃ a + tʃ a	322 72 0	322 72 0	322 72 0	_a-suffix small _small	
70	1-830-273-1	smoke (noun)	Cavineña	wani	wani	w a n i	18	18	w a n i	18	18	18	smoke-3	
73	1-520-273-1	sun	Cavineña	iheti	iheti	i h e t i	40	40	i + h e t i	115 39	115 39	115 39	flame-7 sun	
77	12-630-273-1	thick (in dimension)	Cavineña	ari-da	ari-da	a r i + d a	84 85	42 59	a r i + d a	84 85	42 59	42 59	large _da-suffix	
78	12-650-273-1	thin (in dimension)	Cavineña	ari-da-ma	ari-da-ma	a r i + d a + m a	101 100 99	42 59 62	a r i + d a + m a	101 100 99	42 59 25	42 59 25	large _da-suffix _not	
93	1-840-279-1	ashes	Chácobo	čiʔi-mišpo	čiʔi-mišpo	tʃ i ʔ i + m i ʃ p o	22 26	1 26	tʃ i ʔ i + m i ʃ + p o	22 26 314	1 70 236	1 70 236	fire-2 small-5 dust-10	
107	16-720-279-1	bad	Chácobo	kaṣ̌aṣ̌ɨni	kaṣ̌aṣ̌ɨni	k a ʂ a + ʂ ɨ n i	195 192	195 53	k a ʂ a + ʂ ɨ n i	195 192	195 53	195 53	bad_7 _sini-suffix	
100	14-410-279-1	day	Chácobo	βɨaʔaina	βɨaʔaina	β ɨ a ʔ ai n a	124	124	β ɨ a ʔ ai n a	124	124	124	day-4	
89	1-213-279-1	dust	Chácobo	mišpo	mišpo	m i ʃ p o	231	26	m i ʃ + p o	231 236	70 236	70 236	small-5 dust-10	
88	1-212-279-1	earth=ground, soil	Chácobo	mai	mai	m ai	221	221	m ai	221	221	221	earth	
